"","year","month","date_of_month","day_of_week","births"
"1980",1999,6,3,4,12796
"1981",1999,6,4,5,12340
"1982",1999,6,5,6,8814
"1983",1999,6,6,7,7691
"1984",1999,6,7,1,11105
"1985",1999,6,8,2,12338
"1986",1999,6,9,3,12010
"1987",1999,6,10,4,12259
"1988",1999,6,11,5,12028
"1989",1999,6,12,6,8654
"1990",1999,6,13,7,7648
"1991",1999,6,14,1,11145
"1992",1999,6,15,2,12525
"1993",1999,6,16,3,12089
"1994",1999,6,17,4,12069
"1995",1999,6,18,5,11861
"1996",1999,6,19,6,8621
"1997",1999,6,20,7,7675
"1998",1999,6,21,1,11492
"1999",1999,6,22,2,12527
"2000",1999,6,23,3,12130
"2001",1999,6,24,4,12343
"2002",1999,6,25,5,11768
"2003",1999,6,26,6,8922
"2004",1999,6,27,7,7968
"2005",1999,6,28,1,11506
"2006",1999,6,29,2,12853
"2007",1999,6,30,3,12480
"2008",1999,7,1,4,12828
"2009",1999,7,2,5,12525
"2010",1999,7,3,6,8764
"2011",1999,7,4,7,7973
"2012",1999,7,5,1,8413
"2013",1999,7,6,2,11799
"2014",1999,7,7,3,13343
"2015",1999,7,8,4,13245
"2016",1999,7,9,5,12566
"2017",1999,7,10,6,9196
"2018",1999,7,11,7,7882
"2019",1999,7,12,1,11489
"2020",1999,7,13,2,12646
"2021",1999,7,14,3,12631
"2022",1999,7,15,4,12795
"2023",1999,7,16,5,12582
"2024",1999,7,17,6,9034
"2025",1999,7,18,7,8025
"2026",1999,7,19,1,11556
"2027",1999,7,20,2,12849
"2028",1999,7,21,3,12685
"2029",1999,7,22,4,12945
"2030",1999,7,23,5,12674
"2031",1999,7,24,6,9258
"2032",1999,7,25,7,8182
"2033",1999,7,26,1,11687
"2034",1999,7,27,2,12903
"2035",1999,7,28,3,12803
"2036",1999,7,29,4,12840
"2037",1999,7,30,5,12537
"2038",1999,7,31,6,9157
"2039",1999,8,1,7,8167
"2040",1999,8,2,1,11663
"2041",1999,8,3,2,12660
"2042",1999,8,4,3,12564
"2043",1999,8,5,4,12587
"2044",1999,8,6,5,12448
"2045",1999,8,7,6,9070
"2046",1999,8,8,7,8074
"2047",1999,8,9,1,11408
"2048",1999,8,10,2,13035
"2049",1999,8,11,3,12572
"2050",1999,8,12,4,13103
"2051",1999,8,13,5,11924
"2052",1999,8,14,6,9143
"2053",1999,8,15,7,8190
"2054",1999,8,16,1,11753
"2055",1999,8,17,2,13201
"2056",1999,8,18,3,12833
"2057",1999,8,19,4,12783
"2058",1999,8,20,5,12764
"2059",1999,8,21,6,9114
"2060",1999,8,22,7,7964
"2061",1999,8,23,1,11673
"2062",1999,8,24,2,13035
"2063",1999,8,25,3,12595
"2064",1999,8,26,4,12628
"2065",1999,8,27,5,12570
"2066",1999,8,28,6,9387
"2067",1999,8,29,7,8203
"2068",1999,8,30,1,11568
"2069",1999,8,31,2,12692
"2070",1999,9,1,3,12572
"2071",1999,9,2,4,12896
"2072",1999,9,3,5,12914
"2073",1999,9,4,6,8953
"2074",1999,9,5,7,8203
"2075",1999,9,6,1,8249
"2076",1999,9,7,2,11969
"2077",1999,9,8,3,13437
"2078",1999,9,9,4,14540
"2079",1999,9,10,5,13181
"2080",1999,9,11,6,9634
"2081",1999,9,12,7,8463
"2082",1999,9,13,1,11481
"2083",1999,9,14,2,12770
"2084",1999,9,15,3,12880
"2085",1999,9,16,4,12843
"2086",1999,9,17,5,13142
"2087",1999,9,18,6,9599
"2088",1999,9,19,7,8559
"2089",1999,9,20,1,11961
"2090",1999,9,21,2,13384
"2091",1999,9,22,3,12994
"2092",1999,9,23,4,13149
"2093",1999,9,24,5,13009
"2094",1999,9,25,6,9568
"2095",1999,9,26,7,8290
"2096",1999,9,27,1,12103
"2097",1999,9,28,2,13358
"2098",1999,9,29,3,12785
"2099",1999,9,30,4,12523
"2100",1999,10,1,5,12544
"2101",1999,10,2,6,9099
"2102",1999,10,3,7,7888
"2103",1999,10,4,1,11506
"2104",1999,10,5,2,12871
"2105",1999,10,6,3,12534
"2106",1999,10,7,4,12306
"2107",1999,10,8,5,12341
"2108",1999,10,9,6,8804
"2109",1999,10,10,7,7835
"2110",1999,10,11,1,11203
"2111",1999,10,12,2,12442
"2112",1999,10,13,3,12041
"2113",1999,10,14,4,12115
"2114",1999,10,15,5,12187
"2115",1999,10,16,6,8594
"2116",1999,10,17,7,7562
"2117",1999,10,18,1,11021
"2118",1999,10,19,2,12354
"2119",1999,10,20,3,11830
"2120",1999,10,21,4,11960
"2121",1999,10,22,5,11912
"2122",1999,10,23,6,8404
"2123",1999,10,24,7,7465
"2124",1999,10,25,1,11077
"2125",1999,10,26,2,12221
"2126",1999,10,27,3,11654
"2127",1999,10,28,4,11693
"2128",1999,10,29,5,11534
"2129",1999,10,30,6,8488
"2130",1999,10,31,7,7495
"2131",1999,11,1,1,10839
"2132",1999,11,2,2,12098
"2133",1999,11,3,3,11803
"2134",1999,11,4,4,11806
"2135",1999,11,5,5,11868
"2136",1999,11,6,6,8533
"2137",1999,11,7,7,7481
"2138",1999,11,8,1,11049
"2139",1999,11,9,2,12092
"2140",1999,11,10,3,11632
"2141",1999,11,11,4,11802
"2142",1999,11,12,5,11556
"2143",1999,11,13,6,8349
"2144",1999,11,14,7,7526
"2145",1999,11,15,1,10928
"2146",1999,11,16,2,12263
"2147",1999,11,17,3,11665
"2148",1999,11,18,4,11908
"2149",1999,11,19,5,12128
"2150",1999,11,20,6,8630
"2151",1999,11,21,7,7514
"2152",1999,11,22,1,12104
"2153",1999,11,23,2,12804
"2154",1999,11,24,3,11409
"2155",1999,11,25,4,7529
"2156",1999,11,26,5,8892
"2157",1999,11,27,6,8024
"2158",1999,11,28,7,7418
"2159",1999,11,29,1,11095
"2160",1999,11,30,2,12544
"2161",1999,12,1,3,12282
"2162",1999,12,2,4,11976
"2163",1999,12,3,5,11591
"2164",1999,12,4,6,8333
"2165",1999,12,5,7,7503
"2166",1999,12,6,1,10956
"2167",1999,12,7,2,12329
"2168",1999,12,8,3,11849
"2169",1999,12,9,4,11728
"2170",1999,12,10,5,11459
"2171",1999,12,11,6,8442
"2172",1999,12,12,7,7528
"2173",1999,12,13,1,10830
"2174",1999,12,14,2,12667
"2175",1999,12,15,3,12623
"2176",1999,12,16,4,12441
"2177",1999,12,17,5,12453
"2178",1999,12,18,6,8979
"2179",1999,12,19,7,7732
"2180",1999,12,20,1,12497
"2181",1999,12,21,2,13508
"2182",1999,12,22,3,12166
"2183",1999,12,23,4,10591
"2184",1999,12,24,5,8046
"2185",1999,12,25,6,6674
"2186",1999,12,26,7,7432
"2187",1999,12,27,1,11579
"2188",1999,12,28,2,13158
"2189",1999,12,29,3,12629
"2190",1999,12,30,4,11935
"2191",1999,12,31,5,9335
"2192",2000,1,1,6,9083
"2193",2000,1,2,7,8006
"2194",2000,1,3,1,11363
"2195",2000,1,4,2,13032
"2196",2000,1,5,3,12558
"2197",2000,1,6,4,12466
"2198",2000,1,7,5,12516
"2199",2000,1,8,6,8934
"2200",2000,1,9,7,7949
"2201",2000,1,10,1,11668
"2202",2000,1,11,2,12611
"2203",2000,1,12,3,12398
"2204",2000,1,13,4,11815
"2205",2000,1,14,5,12180
"2206",2000,1,15,6,8525
"2207",2000,1,16,7,7657
"2208",2000,1,17,1,10824
"2209",2000,1,18,2,12350
"2210",2000,1,19,3,12405
"2211",2000,1,20,4,12506
"2212",2000,1,21,5,11953
"2213",2000,1,22,6,8855
"2214",2000,1,23,7,7856
"2215",2000,1,24,1,11449
"2216",2000,1,25,2,12593
"2217",2000,1,26,3,12143
"2218",2000,1,27,4,12408
"2219",2000,1,28,5,11934
"2220",2000,1,29,6,8805
"2221",2000,1,30,7,7764
"2222",2000,1,31,1,11133
"2223",2000,2,1,2,12614
"2224",2000,2,2,3,12465
"2225",2000,2,3,4,12062
"2226",2000,2,4,5,12035
"2227",2000,2,5,6,8624
"2228",2000,2,6,7,7862
"2229",2000,2,7,1,11630
"2230",2000,2,8,2,12879
"2231",2000,2,9,3,12315
"2232",2000,2,10,4,12612
"2233",2000,2,11,5,12411
"2234",2000,2,12,6,8836
"2235",2000,2,13,7,7933
"2236",2000,2,14,1,12152
"2237",2000,2,15,2,13017
"2238",2000,2,16,3,12504
"2239",2000,2,17,4,12520
"2240",2000,2,18,5,12406
"2241",2000,2,19,6,8861
"2242",2000,2,20,7,7943
"2243",2000,2,21,1,10610
"2244",2000,2,22,2,12664
"2245",2000,2,23,3,12252
"2246",2000,2,24,4,12423
"2247",2000,2,25,5,12204
"2248",2000,2,26,6,9026
"2249",2000,2,27,7,7836
"2250",2000,2,28,1,11455
"2251",2000,2,29,2,11895
"2252",2000,3,1,3,12672
"2253",2000,3,2,4,12524
"2254",2000,3,3,5,12390
"2255",2000,3,4,6,9054
"2256",2000,3,5,7,7734
"2257",2000,3,6,1,11375
"2258",2000,3,7,2,12420
"2259",2000,3,8,3,12338
"2260",2000,3,9,4,12615
"2261",2000,3,10,5,12152
"2262",2000,3,11,6,8822
"2263",2000,3,12,7,7937
"2264",2000,3,13,1,11157
"2265",2000,3,14,2,12773
"2266",2000,3,15,3,12428
"2267",2000,3,16,4,12431
"2268",2000,3,17,5,12385
"2269",2000,3,18,6,8677
"2270",2000,3,19,7,7782
"2271",2000,3,20,1,11595
"2272",2000,3,21,2,12689
"2273",2000,3,22,3,12272
"2274",2000,3,23,4,12396
"2275",2000,3,24,5,12327
"2276",2000,3,25,6,9155
"2277",2000,3,26,7,7815
"2278",2000,3,27,1,11291
"2279",2000,3,28,2,12650
"2280",2000,3,29,3,12077
"2281",2000,3,30,4,12071
"2282",2000,3,31,5,11820
"2283",2000,4,1,6,8388
"2284",2000,4,2,7,7540
"2285",2000,4,3,1,11397
"2286",2000,4,4,2,12797
"2287",2000,4,5,3,12209
"2288",2000,4,6,4,12192
"2289",2000,4,7,5,12213
"2290",2000,4,8,6,8743
"2291",2000,4,9,7,7759
"2292",2000,4,10,1,11333
"2293",2000,4,11,2,12850
"2294",2000,4,12,3,12545
"2295",2000,4,13,4,11907
"2296",2000,4,14,5,12053
"2297",2000,4,15,6,8887
"2298",2000,4,16,7,7859
"2299",2000,4,17,1,11322
"2300",2000,4,18,2,12783
"2301",2000,4,19,3,12562
"2302",2000,4,20,4,12301
"2303",2000,4,21,5,11257
"2304",2000,4,22,6,8367
"2305",2000,4,23,7,7483
"2306",2000,4,24,1,11309
"2307",2000,4,25,2,12488
"2308",2000,4,26,3,12245
"2309",2000,4,27,4,12235
"2310",2000,4,28,5,11989
"2311",2000,4,29,6,8703
"2312",2000,4,30,7,7641
"2313",2000,5,1,1,11621
"2314",2000,5,2,2,12934
"2315",2000,5,3,3,12259
"2316",2000,5,4,4,12434
"2317",2000,5,5,5,12539
"2318",2000,5,6,6,8814
"2319",2000,5,7,7,7797
"2320",2000,5,8,1,11604
"2321",2000,5,9,2,12744
"2322",2000,5,10,3,12607
"2323",2000,5,11,4,12442
"2324",2000,5,12,5,12132
"2325",2000,5,13,6,8747
"2326",2000,5,14,7,7617
"2327",2000,5,15,1,11587
"2328",2000,5,16,2,12898
"2329",2000,5,17,3,12729
"2330",2000,5,18,4,12580
"2331",2000,5,19,5,12174
"2332",2000,5,20,6,8673
"2333",2000,5,21,7,7887
"2334",2000,5,22,1,11582
"2335",2000,5,23,2,13097
"2336",2000,5,24,3,12669
"2337",2000,5,25,4,13026
"2338",2000,5,26,5,12726
"2339",2000,5,27,6,8991
"2340",2000,5,28,7,7873
"2341",2000,5,29,1,8272
"2342",2000,5,30,2,11954
"2343",2000,5,31,3,12941
"2344",2000,6,1,4,13363
"2345",2000,6,2,5,12695
"2346",2000,6,3,6,8940
"2347",2000,6,4,7,7983
"2348",2000,6,5,1,11647
"2349",2000,6,6,2,12765
"2350",2000,6,7,3,12474
"2351",2000,6,8,4,12751
"2352",2000,6,9,5,12504
"2353",2000,6,10,6,9134
"2354",2000,6,11,7,8116
"2355",2000,6,12,1,11848
"2356",2000,6,13,2,12683
"2357",2000,6,14,3,12849
"2358",2000,6,15,4,12798
"2359",2000,6,16,5,12727
"2360",2000,6,17,6,9143
"2361",2000,6,18,7,8162
"2362",2000,6,19,1,11649
"2363",2000,6,20,2,13017
"2364",2000,6,21,3,12729
"2365",2000,6,22,4,12809
"2366",2000,6,23,5,12603
"2367",2000,6,24,6,9094
"2368",2000,6,25,7,8178
"2369",2000,6,26,1,12164
"2370",2000,6,27,2,13354
"2371",2000,6,28,3,13033
"2372",2000,6,29,4,13462
"2373",2000,6,30,5,13225
"2374",2000,7,1,6,9376
"2375",2000,7,2,7,8100
"2376",2000,7,3,1,11345
"2377",2000,7,4,2,9550
"2378",2000,7,5,3,12346
"2379",2000,7,6,4,13853
"2380",2000,7,7,5,13658
"2381",2000,7,8,6,9631
"2382",2000,7,9,7,8586
"2383",2000,7,10,1,12420
"2384",2000,7,11,2,13584
"2385",2000,7,12,3,12827
"2386",2000,7,13,4,12980
"2387",2000,7,14,5,13230
"2388",2000,7,15,6,9627
"2389",2000,7,16,7,8423
"2390",2000,7,17,1,12053
"2391",2000,7,18,2,13663
"2392",2000,7,19,3,13001
"2393",2000,7,20,4,13173
"2394",2000,7,21,5,13027
"2395",2000,7,22,6,9463
"2396",2000,7,23,7,8166
"2397",2000,7,24,1,12128
"2398",2000,7,25,2,13176
"2399",2000,7,26,3,12931
"2400",2000,7,27,4,13155
"2401",2000,7,28,5,12890
"2402",2000,7,29,6,9465
"2403",2000,7,30,7,8444
"2404",2000,7,31,1,11860
"2405",2000,8,1,2,13356
"2406",2000,8,2,3,12835
"2407",2000,8,3,4,13092
"2408",2000,8,4,5,12940
"2409",2000,8,5,6,9398
"2410",2000,8,6,7,8350
"2411",2000,8,7,1,11864
"2412",2000,8,8,2,13693
"2413",2000,8,9,3,13170
"2414",2000,8,10,4,12953
"2415",2000,8,11,5,12729
"2416",2000,8,12,6,9305
"2417",2000,8,13,7,8313
"2418",2000,8,14,1,11927
"2419",2000,8,15,2,13374
"2420",2000,8,16,3,13174
"2421",2000,8,17,4,13099
"2422",2000,8,18,5,13124
"2423",2000,8,19,6,9276
"2424",2000,8,20,7,8346
"2425",2000,8,21,1,12003
"2426",2000,8,22,2,13406
"2427",2000,8,23,3,12929
"2428",2000,8,24,4,13021
"2429",2000,8,25,5,12926
"2430",2000,8,26,6,9341
"2431",2000,8,27,7,8240
"2432",2000,8,28,1,12074
"2433",2000,8,29,2,13237
"2434",2000,8,30,3,13111
"2435",2000,8,31,4,13287
"2436",2000,9,1,5,13145
"2437",2000,9,2,6,9265
"2438",2000,9,3,7,8248
"2439",2000,9,4,1,8603
"2440",2000,9,5,2,12200
"2441",2000,9,6,3,13917
"2442",2000,9,7,4,13512
"2443",2000,9,8,5,13487
"2444",2000,9,9,6,9860
"2445",2000,9,10,7,8552
"2446",2000,9,11,1,12405
"2447",2000,9,12,2,13649
"2448",2000,9,13,3,13299
"2449",2000,9,14,4,13739
"2450",2000,9,15,5,13552
"2451",2000,9,16,6,9780
"2452",2000,9,17,7,8683
"2453",2000,9,18,1,12554
"2454",2000,9,19,2,13850
"2455",2000,9,20,3,13775
"2456",2000,9,21,4,13350
"2457",2000,9,22,5,13189
"2458",2000,9,23,6,9494
"2459",2000,9,24,7,8539
"2460",2000,9,25,1,12432
"2461",2000,9,26,2,13540
"2462",2000,9,27,3,13467
"2463",2000,9,28,4,13515
"2464",2000,9,29,5,13045
"2465",2000,9,30,6,9335
"2466",2000,10,1,7,8453
"2467",2000,10,2,1,12223
"2468",2000,10,3,2,13245
"2469",2000,10,4,3,13154
"2470",2000,10,5,4,13288
"2471",2000,10,6,5,12774
"2472",2000,10,7,6,9131
"2473",2000,10,8,7,8119
"2474",2000,10,9,1,11343
"2475",2000,10,10,2,13124
"2476",2000,10,11,3,12907
"2477",2000,10,12,4,13038
"2478",2000,10,13,5,11723
"2479",2000,10,14,6,9163
"2480",2000,10,15,7,8156
"2481",2000,10,16,1,12001
"2482",2000,10,17,2,13106
"2483",2000,10,18,3,12816
"2484",2000,10,19,4,12502
"2485",2000,10,20,5,12471
"2486",2000,10,21,6,8956
"2487",2000,10,22,7,7938
"2488",2000,10,23,1,11810
"2489",2000,10,24,2,12995
"2490",2000,10,25,3,12780
"2491",2000,10,26,4,12787
"2492",2000,10,27,5,12333
"2493",2000,10,28,6,8978
"2494",2000,10,29,7,8124
"2495",2000,10,30,1,11558
"2496",2000,10,31,2,11372
"2497",2000,11,1,3,12927
"2498",2000,11,2,4,13066
"2499",2000,11,3,5,12630
"2500",2000,11,4,6,9084
"2501",2000,11,5,7,8078
"2502",2000,11,6,1,11862
"2503",2000,11,7,2,12822
"2504",2000,11,8,3,12829
"2505",2000,11,9,4,12778
"2506",2000,11,10,5,12554
"2507",2000,11,11,6,9318
"2508",2000,11,12,7,8070
"2509",2000,11,13,1,11480
"2510",2000,11,14,2,13153
"2511",2000,11,15,3,12953
"2512",2000,11,16,4,13061
"2513",2000,11,17,5,12888
"2514",2000,11,18,6,9137
"2515",2000,11,19,7,8077
"2516",2000,11,20,1,12974
"2517",2000,11,21,2,13991
"2518",2000,11,22,3,12420
"2519",2000,11,23,4,8144
"2520",2000,11,24,5,9805
"2521",2000,11,25,6,8537
"2522",2000,11,26,7,7950
"2523",2000,11,27,1,12175
"2524",2000,11,28,2,13799
"2525",2000,11,29,3,13114
"2526",2000,11,30,4,12818
"2527",2000,12,1,5,12545
"2528",2000,12,2,6,8914
"2529",2000,12,3,7,7930
"2530",2000,12,4,1,11501
"2531",2000,12,5,2,12997
"2532",2000,12,6,3,12697
"2533",2000,12,7,4,12820
"2534",2000,12,8,5,12548
"2535",2000,12,9,6,8853
"2536",2000,12,10,7,8022
"2537",2000,12,11,1,11811
"2538",2000,12,12,2,13627
"2539",2000,12,13,3,12567
"2540",2000,12,14,4,12640
"2541",2000,12,15,5,12656
"2542",2000,12,16,6,9184
"2543",2000,12,17,7,8026
"2544",2000,12,18,1,12590
"2545",2000,12,19,2,13829
"2546",2000,12,20,3,13762
"2547",2000,12,21,4,13524
"2548",2000,12,22,5,12248
"2549",2000,12,23,6,8484
"2550",2000,12,24,7,6971
"2551",2000,12,25,1,6719
"2552",2000,12,26,2,10395
"2553",2000,12,27,3,13252
"2554",2000,12,28,4,13900
"2555",2000,12,29,5,13607
"2556",2000,12,30,6,9405
"2557",2000,12,31,7,7892
"2558",2001,1,1,1,7663
"2559",2001,1,2,2,10635
"2560",2001,1,3,3,12449
"2561",2001,1,4,4,12678
"2562",2001,1,5,5,12647
"2563",2001,1,6,6,9180
"2564",2001,1,7,7,7883
"2565",2001,1,8,1,11447
"2566",2001,1,9,2,12386
"2567",2001,1,10,3,12455
"2568",2001,1,11,4,12433
"2569",2001,1,12,5,12735
"2570",2001,1,13,6,8836
"2571",2001,1,14,7,7818
"2572",2001,1,15,1,10926
"2573",2001,1,16,2,12327
"2574",2001,1,17,3,12344
"2575",2001,1,18,4,12648
"2576",2001,1,19,5,12339
"2577",2001,1,20,6,8771
"2578",2001,1,21,7,7850
"2579",2001,1,22,1,11444
"2580",2001,1,23,2,12446
"2581",2001,1,24,3,12244
"2582",2001,1,25,4,12570
"2583",2001,1,26,5,12191
"2584",2001,1,27,6,8795
"2585",2001,1,28,7,7761
"2586",2001,1,29,1,11513
"2587",2001,1,30,2,12488
"2588",2001,1,31,3,12477
"2589",2001,2,1,4,12477
"2590",2001,2,2,5,12470
"2591",2001,2,3,6,8650
"2592",2001,2,4,7,7716
"2593",2001,2,5,1,11825
"2594",2001,2,6,2,12536
"2595",2001,2,7,3,12343
"2596",2001,2,8,4,12390
"2597",2001,2,9,5,12343
"2598",2001,2,10,6,8791
"2599",2001,2,11,7,7563
"2600",2001,2,12,1,11670
"2601",2001,2,13,2,12267
"2602",2001,2,14,3,13191
"2603",2001,2,15,4,12632
"2604",2001,2,16,5,12355
"2605",2001,2,17,6,8609
"2606",2001,2,18,7,7555
"2607",2001,2,19,1,10522
"2608",2001,2,20,2,12373
"2609",2001,2,21,3,12492
"2610",2001,2,22,4,12482
"2611",2001,2,23,5,12242
"2612",2001,2,24,6,8656
"2613",2001,2,25,7,7794
"2614",2001,2,26,1,11332
"2615",2001,2,27,2,12334
"2616",2001,2,28,3,12209
"2617",2001,3,1,4,12530
"2618",2001,3,2,5,12383
"2619",2001,3,3,6,8935
"2620",2001,3,4,7,7799
"2621",2001,3,5,1,11411
"2622",2001,3,6,2,12339
"2623",2001,3,7,3,12351
"2624",2001,3,8,4,12440
"2625",2001,3,9,5,12461
"2626",2001,3,10,6,8807
"2627",2001,3,11,7,7697
"2628",2001,3,12,1,11595
"2629",2001,3,13,2,12534
"2630",2001,3,14,3,12578
"2631",2001,3,15,4,12525
"2632",2001,3,16,5,12460
"2633",2001,3,17,6,9006
"2634",2001,3,18,7,7526
"2635",2001,3,19,1,11352
"2636",2001,3,20,2,12868
"2637",2001,3,21,3,12690
"2638",2001,3,22,4,12472
"2639",2001,3,23,5,12432
"2640",2001,3,24,6,8830
"2641",2001,3,25,7,7800
"2642",2001,3,26,1,11290
"2643",2001,3,27,2,12570
"2644",2001,3,28,3,12469
"2645",2001,3,29,4,12366
"2646",2001,3,30,5,12059
"2647",2001,3,31,6,8770
"2648",2001,4,1,7,7212
"2649",2001,4,2,1,11673
"2650",2001,4,3,2,12864
"2651",2001,4,4,3,12655
"2652",2001,4,5,4,12438
"2653",2001,4,6,5,12407
"2654",2001,4,7,6,8755
"2655",2001,4,8,7,7718
"2656",2001,4,9,1,11617
"2657",2001,4,10,2,13031
"2658",2001,4,11,3,12912
"2659",2001,4,12,4,12733
"2660",2001,4,13,5,10881
"2661",2001,4,14,6,8262
"2662",2001,4,15,7,7230
"2663",2001,4,16,1,11220
"2664",2001,4,17,2,12867
"2665",2001,4,18,3,12381
"2666",2001,4,19,4,12257
"2667",2001,4,20,5,12296
"2668",2001,4,21,6,8849
"2669",2001,4,22,7,7758
"2670",2001,4,23,1,11672
"2671",2001,4,24,2,12981
"2672",2001,4,25,3,12728
"2673",2001,4,26,4,12560
"2674",2001,4,27,5,12335
"2675",2001,4,28,6,8574
"2676",2001,4,29,7,7602
"2677",2001,4,30,1,11416
"2678",2001,5,1,2,13037
"2679",2001,5,2,3,12542
"2680",2001,5,3,4,12596
"2681",2001,5,4,5,12276
"2682",2001,5,5,6,8795
"2683",2001,5,6,7,8001
"2684",2001,5,7,1,11635
"2685",2001,5,8,2,13032
"2686",2001,5,9,3,12477
"2687",2001,5,10,4,12632
"2688",2001,5,11,5,12296
"2689",2001,5,12,6,8692
"2690",2001,5,13,7,7479
"2691",2001,5,14,1,11577
"2692",2001,5,15,2,13124
"2693",2001,5,16,3,12625
"2694",2001,5,17,4,12630
"2695",2001,5,18,5,12313
"2696",2001,5,19,6,8803
"2697",2001,5,20,7,7732
"2698",2001,5,21,1,11680
"2699",2001,5,22,2,13047
"2700",2001,5,23,3,12936
"2701",2001,5,24,4,13179
"2702",2001,5,25,5,12722
"2703",2001,5,26,6,8911
"2704",2001,5,27,7,7529
"2705",2001,5,28,1,7993
"2706",2001,5,29,2,12013
"2707",2001,5,30,3,13334
"2708",2001,5,31,4,13051
"2709",2001,6,1,5,12677
"2710",2001,6,2,6,8920
"2711",2001,6,3,7,7887
"2712",2001,6,4,1,11500
"2713",2001,6,5,2,12683
"2714",2001,6,6,3,12804
"2715",2001,6,7,4,12566
"2716",2001,6,8,5,12451
"2717",2001,6,9,6,8756
"2718",2001,6,10,7,7674
"2719",2001,6,11,1,11776
"2720",2001,6,12,2,13218
"2721",2001,6,13,3,12342
"2722",2001,6,14,4,12655
"2723",2001,6,15,5,12394
"2724",2001,6,16,6,8780
"2725",2001,6,17,7,7722
"2726",2001,6,18,1,11756
"2727",2001,6,19,2,12785
"2728",2001,6,20,3,12704
"2729",2001,6,21,4,12615
"2730",2001,6,22,5,12299
"2731",2001,6,23,6,8452
"2732",2001,6,24,7,7639
"2733",2001,6,25,1,11575
"2734",2001,6,26,2,12939
"2735",2001,6,27,3,12809
"2736",2001,6,28,4,13059
"2737",2001,6,29,5,12922
"2738",2001,6,30,6,9247
"2739",2001,7,1,7,8145
"2740",2001,7,2,1,12390
"2741",2001,7,3,2,13364
"2742",2001,7,4,3,9608
"2743",2001,7,5,4,12531
"2744",2001,7,6,5,13151
"2745",2001,7,7,6,9544
"2746",2001,7,8,7,8249
"2747",2001,7,9,1,12036
"2748",2001,7,10,2,13614
"2749",2001,7,11,3,13026
"2750",2001,7,12,4,13188
"2751",2001,7,13,5,12187
"2752",2001,7,14,6,9269
"2753",2001,7,15,7,8047
"2754",2001,7,16,1,12383
"2755",2001,7,17,2,13657
"2756",2001,7,18,3,13241
"2757",2001,7,19,4,13293
"2758",2001,7,20,5,12950
"2759",2001,7,21,6,9410
"2760",2001,7,22,7,8116
"2761",2001,7,23,1,12099
"2762",2001,7,24,2,13532
"2763",2001,7,25,3,12988
"2764",2001,7,26,4,13022
"2765",2001,7,27,5,12677
"2766",2001,7,28,6,9102
"2767",2001,7,29,7,7892
"2768",2001,7,30,1,12150
"2769",2001,7,31,2,13218
"2770",2001,8,1,3,12960
"2771",2001,8,2,4,13097
"2772",2001,8,3,5,12859
"2773",2001,8,4,6,9143
"2774",2001,8,5,7,8062
"2775",2001,8,6,1,12008
"2776",2001,8,7,2,13488
"2777",2001,8,8,3,13185
"2778",2001,8,9,4,13339
"2779",2001,8,10,5,13094
"2780",2001,8,11,6,9275
"2781",2001,8,12,7,8261
"2782",2001,8,13,1,11682
"2783",2001,8,14,2,13325
"2784",2001,8,15,3,13332
"2785",2001,8,16,4,13372
"2786",2001,8,17,5,13102
"2787",2001,8,18,6,9294
"2788",2001,8,19,7,7945
"2789",2001,8,20,1,12313
"2790",2001,8,21,2,13590
"2791",2001,8,22,3,13146
"2792",2001,8,23,4,13158
"2793",2001,8,24,5,12996
"2794",2001,8,25,6,9229
"2795",2001,8,26,7,8115
"2796",2001,8,27,1,12080
"2797",2001,8,28,2,13792
"2798",2001,8,29,3,13160
"2799",2001,8,30,4,13520
"2800",2001,8,31,5,13461
"2801",2001,9,1,6,9248
"2802",2001,9,2,7,8239
"2803",2001,9,3,1,8115
"2804",2001,9,4,2,12501
"2805",2001,9,5,3,14055
"2806",2001,9,6,4,13925
"2807",2001,9,7,5,13721
"2808",2001,9,8,6,9344
"2809",2001,9,9,7,8347
"2810",2001,9,10,1,12459
"2811",2001,9,11,2,13590
"2812",2001,9,12,3,13149
"2813",2001,9,13,4,13186
"2814",2001,9,14,5,13444
"2815",2001,9,15,6,9662
"2816",2001,9,16,7,8319
"2817",2001,9,17,1,12664
"2818",2001,9,18,2,13526
"2819",2001,9,19,3,13575
"2820",2001,9,20,4,13750
"2821",2001,9,21,5,13341
"2822",2001,9,22,6,9607
"2823",2001,9,23,7,8495
"2824",2001,9,24,1,12564
"2825",2001,9,25,2,14063
"2826",2001,9,26,3,13441
"2827",2001,9,27,4,13199
"2828",2001,9,28,5,13174
"2829",2001,9,29,6,9243
"2830",2001,9,30,7,8042
"2831",2001,10,1,1,12425
"2832",2001,10,2,2,13523
"2833",2001,10,3,3,13056
"2834",2001,10,4,4,13182
"2835",2001,10,5,5,12851
"2836",2001,10,6,6,8872
"2837",2001,10,7,7,7744
"2838",2001,10,8,1,11531
"2839",2001,10,9,2,12886
"2840",2001,10,10,3,12858
"2841",2001,10,11,4,12568
"2842",2001,10,12,5,12676
"2843",2001,10,13,6,8659
"2844",2001,10,14,7,7753
"2845",2001,10,15,1,11649
"2846",2001,10,16,2,12770
"2847",2001,10,17,3,12599
"2848",2001,10,18,4,12579
"2849",2001,10,19,5,12359
"2850",2001,10,20,6,8747
"2851",2001,10,21,7,7506
"2852",2001,10,22,1,11705
