"","year","month","date_of_month","day_of_week","births"
"186",1994,7,5,2,11609
"187",1994,7,6,3,13086
"188",1994,7,7,4,13049
"189",1994,7,8,5,12623
"190",1994,7,9,6,9325
"191",1994,7,10,7,8684
"192",1994,7,11,1,11567
"193",1994,7,12,2,12507
"194",1994,7,13,3,12134
"195",1994,7,14,4,12485
"196",1994,7,15,5,12691
"197",1994,7,16,6,9547
"198",1994,7,17,7,8848
"199",1994,7,18,1,11561
"200",1994,7,19,2,12583
"201",1994,7,20,3,12378
"202",1994,7,21,4,12447
"203",1994,7,22,5,12486
"204",1994,7,23,6,9463
"205",1994,7,24,7,8734
"206",1994,7,25,1,11757
"207",1994,7,26,2,12591
"208",1994,7,27,3,12423
"209",1994,7,28,4,12539
"210",1994,7,29,5,12231
"211",1994,7,30,6,9340
"212",1994,7,31,7,8590
"213",1994,8,1,1,11428
"214",1994,8,2,2,12622
"215",1994,8,3,3,12147
"216",1994,8,4,4,12601
"217",1994,8,5,5,12251
"218",1994,8,6,6,9336
"219",1994,8,7,7,8517
"220",1994,8,8,1,11528
"221",1994,8,9,2,12643
"222",1994,8,10,3,12525
"223",1994,8,11,4,12147
"224",1994,8,12,5,12479
"225",1994,8,13,6,9474
"226",1994,8,14,7,8926
"227",1994,8,15,1,11391
"228",1994,8,16,2,12605
"229",1994,8,17,3,12344
"230",1994,8,18,4,12313
"231",1994,8,19,5,12227
"232",1994,8,20,6,9646
"233",1994,8,21,7,8663
"234",1994,8,22,1,11489
"235",1994,8,23,2,12284
"236",1994,8,24,3,12176
"237",1994,8,25,4,12076
"238",1994,8,26,5,12122
"239",1994,8,27,6,9171
"240",1994,8,28,7,8779
"241",1994,8,29,1,11560
"242",1994,8,30,2,12431
"243",1994,8,31,3,12272
"244",1994,9,1,4,12183
"245",1994,9,2,5,12099
"246",1994,9,3,6,9042
"247",1994,9,4,7,8420
"248",1994,9,5,1,8378
"249",1994,9,6,2,11448
"250",1994,9,7,3,12660
"251",1994,9,8,4,12693
"252",1994,9,9,5,12811
"253",1994,9,10,6,9424
"254",1994,9,11,7,8373
"255",1994,9,12,1,11500
"256",1994,9,13,2,12560
"257",1994,9,14,3,12566
"258",1994,9,15,4,12655
"259",1994,9,16,5,12884
"260",1994,9,17,6,9779
"261",1994,9,18,7,8603
"262",1994,9,19,1,11659
"263",1994,9,20,2,12584
"264",1994,9,21,3,12468
"265",1994,9,22,4,12590
"266",1994,9,23,5,12522
"267",1994,9,24,6,9597
"268",1994,9,25,7,8754
"269",1994,9,26,1,11597
"270",1994,9,27,2,12591
"271",1994,9,28,3,12405
"272",1994,9,29,4,12288
"273",1994,9,30,5,12090
"274",1994,10,1,6,9351
"275",1994,10,2,7,8477
"276",1994,10,3,1,11437
"277",1994,10,4,2,12378
"278",1994,10,5,3,12061
"279",1994,10,6,4,12017
"280",1994,10,7,5,12050
"281",1994,10,8,6,8981
"282",1994,10,9,7,8038
"283",1994,10,10,1,11110
"284",1994,10,11,2,12236
"285",1994,10,12,3,11846
"286",1994,10,13,4,11398
"287",1994,10,14,5,11959
"288",1994,10,15,6,9077
"289",1994,10,16,7,8022
"290",1994,10,17,1,11127
"291",1994,10,18,2,11888
"292",1994,10,19,3,11533
"293",1994,10,20,4,11876
"294",1994,10,21,5,11562
"295",1994,10,22,6,9086
"296",1994,10,23,7,7914
"297",1994,10,24,1,11068
"298",1994,10,25,2,12019
"299",1994,10,26,3,11683
"300",1994,10,27,4,11420
"301",1994,10,28,5,11608
"302",1994,10,29,6,8855
"303",1994,10,30,7,8262
"304",1994,10,31,1,9833
"305",1994,11,1,2,12316
"306",1994,11,2,3,11736
"307",1994,11,3,4,11703
"308",1994,11,4,5,11956
"309",1994,11,5,6,8826
"310",1994,11,6,7,8100
"311",1994,11,7,1,11283
"312",1994,11,8,2,11999
"313",1994,11,9,3,11811
"314",1994,11,10,4,11728
"315",1994,11,11,5,11533
"316",1994,11,12,6,8672
"317",1994,11,13,7,8093
"318",1994,11,14,1,11044
"319",1994,11,15,2,11985
"320",1994,11,16,3,11634
"321",1994,11,17,4,11703
"322",1994,11,18,5,11826
"323",1994,11,19,6,8771
"324",1994,11,20,7,8133
"325",1994,11,21,1,11807
"326",1994,11,22,2,12764
"327",1994,11,23,3,11332
"328",1994,11,24,4,8036
"329",1994,11,25,5,9419
"330",1994,11,26,6,8427
"331",1994,11,27,7,7937
"332",1994,11,28,1,11003
"333",1994,11,29,2,12177
"334",1994,11,30,3,11643
"335",1994,12,1,4,11681
"336",1994,12,2,5,11379
"337",1994,12,3,6,8585
"338",1994,12,4,7,7980
"339",1994,12,5,1,10772
"340",1994,12,6,2,11923
"341",1994,12,7,3,11335
"342",1994,12,8,4,11337
"343",1994,12,9,5,11205
"344",1994,12,10,6,8461
"345",1994,12,11,7,7936
"346",1994,12,12,1,11106
"347",1994,12,13,2,11884
"348",1994,12,14,3,11716
"349",1994,12,15,4,11962
"350",1994,12,16,5,12144
"351",1994,12,17,6,8726
"352",1994,12,18,7,8130
"353",1994,12,19,1,11502
"354",1994,12,20,2,12880
"355",1994,12,21,3,12391
"356",1994,12,22,4,11504
"357",1994,12,23,5,10087
"358",1994,12,24,6,7898
"359",1994,12,25,7,7192
"360",1994,12,26,1,8454
"361",1994,12,27,2,11131
"362",1994,12,28,3,12398
"363",1994,12,29,4,12189
"364",1994,12,30,5,12051
"365",1994,12,31,6,8809
"366",1995,1,1,7,7828
"367",1995,1,2,1,7883
"368",1995,1,3,2,9999
"369",1995,1,4,3,11315
"370",1995,1,5,4,11243
"371",1995,1,6,5,11506
"372",1995,1,7,6,8681
"373",1995,1,8,7,7821
"374",1995,1,9,1,10434
"375",1995,1,10,2,11665
"376",1995,1,11,3,11279
"377",1995,1,12,4,11416
"378",1995,1,13,5,11071
"379",1995,1,14,6,8887
"380",1995,1,15,7,7988
"381",1995,1,16,1,10417
"382",1995,1,17,2,11345
"383",1995,1,18,3,11252
"384",1995,1,19,4,11331
"385",1995,1,20,5,11481
"386",1995,1,21,6,8746
"387",1995,1,22,7,7956
"388",1995,1,23,1,10640
"389",1995,1,24,2,11344
"390",1995,1,25,3,11096
"391",1995,1,26,4,11380
"392",1995,1,27,5,11340
"393",1995,1,28,6,8781
"394",1995,1,29,7,8009
"395",1995,1,30,1,10515
"396",1995,1,31,2,11364
"397",1995,2,1,3,11279
"398",1995,2,2,4,11490
"399",1995,2,3,5,11264
"400",1995,2,4,6,8769
"401",1995,2,5,7,8017
"402",1995,2,6,1,10587
"403",1995,2,7,2,11483
"404",1995,2,8,3,11205
"405",1995,2,9,4,11282
"406",1995,2,10,5,11615
"407",1995,2,11,6,8949
"408",1995,2,12,7,8007
"409",1995,2,13,1,10351
"410",1995,2,14,2,12454
"411",1995,2,15,3,11828
"412",1995,2,16,4,11657
"413",1995,2,17,5,11625
"414",1995,2,18,6,8788
"415",1995,2,19,7,8038
"416",1995,2,20,1,10258
"417",1995,2,21,2,11582
"418",1995,2,22,3,11716
"419",1995,2,23,4,11786
"420",1995,2,24,5,11671
"421",1995,2,25,6,8829
"422",1995,2,26,7,8183
"423",1995,2,27,1,10702
"424",1995,2,28,2,11679
"425",1995,3,1,3,11540
"426",1995,3,2,4,11377
"427",1995,3,3,5,11649
"428",1995,3,4,6,8807
"429",1995,3,5,7,7984
